,a_1,b_1,c_1,d_1,a_2,b_2,c_2,d_2,ratio_1,ratio_2,ratio
0,1,384,384,1,2,192,768,1,0.9694127338613225,0.8227626542982331,0.8664170374429866
1,1,384,384,1,3,128,512,1,0.9694127338613225,1.0776763798393731,1.0289517817084317
2,1,384,384,1,4,96,384,1,0.9694127338613225,0.9731472165868641,0.9714660472732123
3,1,384,384,1,6,64,256,1,0.9694127338613225,0.6340149354787666,0.7920857145255322
4,1,384,384,1,8,48,192,1,0.9694127338613225,0.719103068040466,0.834747185157613
5,1,48,48,8,2,192,768,1,1.1854009860015542,0.8227626542982331,0.8944956308669307
6,1,48,48,8,3,128,512,1,1.1854009860015542,1.0776763798393731,1.112422135329731
7,1,48,48,8,4,96,384,1,1.1854009860015542,0.9731472165868641,1.0416304717800215
8,1,48,48,8,6,64,256,1,1.1854009860015542,0.6340149354787666,0.8223133030744443
9,1,48,48,8,8,48,192,1,1.1854009860015542,0.719103068040466,0.8744534960727096
10,1,48,192,8,2,768,768,1,1.2257594765209694,1.1570000441308133,1.1714548578972952
11,1,48,192,8,3,512,512,1,1.2257594765209694,1.1270903244115853,1.1551057337564827
12,1,48,192,8,4,384,384,1,1.2257594765209694,1.1344927948061587,1.1657742169513778
13,1,48,192,8,6,256,256,1,1.2257594765209694,1.1224821286225086,1.167329560108462
14,1,48,192,8,8,192,192,1,1.2257594765209694,0.9131522675704924,1.0488163596530216
15,1,48,192,8,12,128,128,1,1.2257594765209694,1.1098189150053348,1.1779865155335922
16,1,48,192,8,16,96,96,1,1.2257594765209694,1.1061183871628246,1.1759694412980424
17,1,48,192,8,24,64,64,1,1.2257594765209694,0.6147583155807332,0.9712790249848678
18,1,48,192,8,32,48,48,1,1.2257594765209694,1.174703780693954,1.203918766687079
19,1,64,64,6,2,192,768,1,0.9510834544520143,0.8227626542982331,0.8476525374727224
20,1,64,64,6,3,128,512,1,0.9510834544520143,1.0776763798393731,1.0375166579724031
21,1,64,64,6,4,96,384,1,0.9510834544520143,0.9731472165868641,0.9661455072067124
22,1,64,64,6,6,64,256,1,0.9510834544520143,0.6340149354787666,0.740561227605952
23,1,64,64,6,8,48,192,1,0.9510834544520143,0.719103068040466,0.7951368588976637
24,1,64,256,6,2,768,768,1,0.6492118717045218,1.1570000441308133,1.0500674536314094
25,1,64,256,6,3,512,512,1,0.6492118717045218,1.1270903244115853,0.9911931222578144
26,1,64,256,6,4,384,384,1,0.6492118717045218,1.1344927948061587,0.9679256842819188
27,1,64,256,6,6,256,256,1,0.6492118717045218,1.1224821286225086,0.9167145721114044
28,1,64,256,6,8,192,192,1,0.6492118717045218,0.9131522675704924,0.798467106130406
29,1,64,256,6,12,128,128,1,0.6492118717045218,1.1098189150053348,0.8387604952126982
30,1,64,256,6,16,96,96,1,0.6492118717045218,1.1061183871628246,0.8391169678195973
31,1,64,256,6,24,64,64,1,0.6492118717045218,0.6147583155807332,0.6348802955217805
32,1,64,256,6,32,48,48,1,0.6492118717045218,1.174703780693954,0.8737276008970312
33,1,96,96,4,2,192,768,1,0.9724528068316571,0.8227626542982331,0.8523401091565685
34,1,96,96,4,3,128,512,1,0.9724528068316571,1.0776763798393731,1.0437688198882904
35,1,96,96,4,4,96,384,1,0.9724528068316571,0.9731472165868641,0.9729233746220849
36,1,96,96,4,6,64,256,1,0.9724528068316571,0.6340149354787666,0.7494871956817145
37,1,96,96,4,8,48,192,1,0.9724528068316571,0.719103068040466,0.8034311854589306
38,1,96,384,4,2,768,768,1,1.0817943215405108,1.1570000441308133,1.1407395714921347
39,1,96,384,4,3,512,512,1,1.0817943215405108,1.1270903244115853,1.1138979161878682
40,1,96,384,4,4,384,384,1,1.0817943215405108,1.1344927948061587,1.116004249966024
41,1,96,384,4,6,256,256,1,1.0817943215405108,1.1224821286225086,1.1044559876012172
42,1,96,384,4,8,192,192,1,1.0817943215405108,0.9131522675704924,0.987821541969831
43,1,96,384,4,12,128,128,1,1.0817943215405108,1.1098189150053348,1.0931001086213101
44,1,96,384,4,16,96,96,1,1.0817943215405108,1.1061183871628246,1.0917066702665432
45,1,96,384,4,24,64,64,1,1.0817943215405108,0.6147583155807332,0.8913156829561579
46,1,96,384,4,32,48,48,1,1.0817943215405108,1.174703780693954,1.1207293511279208
47,1,128,128,3,2,192,768,1,0.9348365395154041,0.8227626542982331,0.8451412519098725
48,1,128,128,3,3,128,512,1,0.9348365395154041,1.0776763798393731,1.0312374661209447
49,1,128,128,3,4,96,384,1,0.9348365395154041,0.9731472165868641,0.9606879027865951
50,1,128,128,3,6,64,256,1,0.9348365395154041,0.6340149354787666,0.7375407974870484
51,1,128,128,3,8,48,192,1,0.9348365395154041,0.719103068040466,0.7915396851558251
52,1,128,512,3,2,768,768,1,0.882634376779882,1.1570000441308133,1.0970638180692016
53,1,128,512,3,3,512,512,1,0.882634376779882,1.1270903244115853,1.0552263022467456
54,1,128,512,3,4,384,384,1,0.882634376779882,1.1344927948061587,1.045374637082338
55,1,128,512,3,6,256,256,1,0.882634376779882,1.1224821286225086,1.0154409164914218
56,1,128,512,3,8,192,192,1,0.882634376779882,0.9131522675704924,0.8995406737662515
57,1,128,512,3,12,128,128,1,0.882634376779882,1.1098189150053348,0.9735667238215692
58,1,128,512,3,16,96,96,1,0.882634376779882,1.1061183871628246,0.9729969041177126
59,1,128,512,3,24,64,64,1,0.882634376779882,0.6147583155807332,0.7742333906768961
60,1,128,512,3,32,48,48,1,0.882634376779882,1.174703780693954,1.0040946231952452
61,1,192,192,2,2,192,768,1,0.8638414154693748,0.8227626542982331,0.8338411521943816
62,1,192,192,2,3,128,512,1,0.8638414154693748,1.0776763798393731,0.988671635986293
63,1,192,192,2,4,96,384,1,0.8638414154693748,0.9731472165868641,0.9276379195332894
64,1,192,192,2,6,64,256,1,0.8638414154693748,0.6340149354787666,0.7344817457255483
65,1,192,192,2,8,48,192,1,0.8638414154693748,0.719103068040466,0.7810483340844353
66,1,192,768,2,2,768,768,1,0.7460016502847124,1.1570000441308133,1.0299707380548644
67,1,192,768,2,3,512,512,1,0.7460016502847124,1.1270903244115853,0.9746948274555386
68,1,192,768,2,4,384,384,1,0.7460016502847124,1.1344927948061587,0.9530430707698112
69,1,192,768,2,6,256,256,1,0.7460016502847124,1.1224821286225086,0.9104100615690689
70,1,192,768,2,8,192,192,1,0.7460016502847124,0.9131522675704924,0.8190406552019325
71,1,192,768,2,12,128,128,1,0.7460016502847124,1.1098189150053348,0.8530690490320906
72,1,192,768,2,16,96,96,1,0.7460016502847124,1.1061183871628246,0.8532528200146153
73,1,192,768,2,24,64,64,1,0.7460016502847124,0.6147583155807332,0.7068763805561719
74,1,192,768,2,32,48,48,1,0.7460016502847124,1.174703780693954,0.8779912743654704
